,Rank,Movie Names,Links,Rating,Year,Duration_of_movie,Genere,Description
104,105,Virumandi,https://www.imdb.com//title/tt0364647/?ref_=fea_eds_center-3_IndiaTop250_104,8.4,2004,Not Rated,"Action,Crime,Drama,Back to top",A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.
105,106,Kahaani,https://www.imdb.com//title/tt1821480/?ref_=fea_eds_center-3_IndiaTop250_105,8.1,2012,Not Rated,"Mystery,Thriller,Back to top","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
106,107,Dil Chahta Hai,https://www.imdb.com//title/tt0292490/?ref_=fea_eds_center-3_IndiaTop250_106,8.1,2001,Not Rated,"Comedy,Drama,Romance,Back to top","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension... Read all"
107,108,A Wednesday,https://www.imdb.com//title/tt1280558/?ref_=fea_eds_center-3_IndiaTop250_107,8.1,2008,Not Rated,"Action,Crime,Drama,Back to top",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wedne... Read all
108,109,Baasha,https://www.imdb.com//title/tt0139876/?ref_=fea_eds_center-3_IndiaTop250_108,8.3,1995,Not Rated,"Action,Crime,Drama,Back to top","An auto driver, Manikam, desperately tries to hide his dark underworld side to keep his promise to his father."
109,110,Masaan,https://www.imdb.com//title/tt4635372/?ref_=fea_eds_center-3_IndiaTop250_109,8.1,2015,1h 49m,"Drama,Back to top","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
110,111,Shershaah,https://www.imdb.com//title/tt10295212/?ref_=fea_eds_center-3_IndiaTop250_110,8.3,2021,TV-14,"Action,Biography,Drama,Back to top","Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely... Read all"
111,112,"Carry On, Munna Bhai",https://www.imdb.com//title/tt0456144/?ref_=fea_eds_center-3_IndiaTop250_111,8.0,2006,Not Rated,"Comedy,Drama,Romance,Back to top",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
112,113,2018,https://www.imdb.com//title/tt9006564/?ref_=fea_eds_center-3_IndiaTop250_112,8.5,2023,2h 30m,"Action,Drama,Thriller,Back to top",A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.
113,114,Iqbal,https://www.imdb.com//title/tt0453729/?ref_=fea_eds_center-3_IndiaTop250_113,8.1,2005,Not Rated,"Drama,Sport,Back to top","Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player."
114,115,Pithamagan,https://www.imdb.com//title/tt0376076/?ref_=fea_eds_center-3_IndiaTop250_114,8.3,2003,Not Rated,"Action,Drama,Back to top","Chittan, a social outcast, has grown up in a cemetery. A drug dealer finds him a job in a cannabis farm. In prison, he meets a conman, Shakti. This friendship transforms him from his stony e... Read all"
115,116,Lucia,https://www.imdb.com//title/tt2358592/?ref_=fea_eds_center-3_IndiaTop250_115,8.3,2013,Not Rated,"Drama,Sci-Fi,Thriller,Back to top","A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality."
116,117,Kaun Pravin Tambe?,https://www.imdb.com//title/tt18568902/?ref_=fea_eds_center-3_IndiaTop250_116,8.4,2022,2h 14m,"Biography,Drama,Sport,Back to top",An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's ca... Read all
117,118,Pink,https://www.imdb.com//title/tt5571734/?ref_=fea_eds_center-3_IndiaTop250_117,8.1,2016,Not Rated,"Crime,Drama,Thriller,Back to top","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
118,119,Anand,https://www.imdb.com//title/tt0066763/?ref_=fea_eds_center-3_IndiaTop250_118,8.1,1971,Not Rated,"Drama,Musical,Back to top","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
119,120,Nil Battey Sannata,https://www.imdb.com//title/tt5005684/?ref_=fea_eds_center-3_IndiaTop250_119,8.2,2015,1h 40m,"Drama,Family,Back to top",A story about a single woman (a Mom) and dreams on her Daughter.
120,121,Roja,https://www.imdb.com//title/tt0105271/?ref_=fea_eds_center-3_IndiaTop250_120,8.1,1992,2h 17m,"Drama,Romance,Thriller,Back to top","A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir, where all is rosy - until he gets kidnapped by militants."
121,122,Bajrangi Bhaijaan,https://www.imdb.com//title/tt3863552/?ref_=fea_eds_center-3_IndiaTop250_121,8.1,2015,Not Rated,"Action,Adventure,Comedy,Back to top",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
122,123,Charulata,https://www.imdb.com//title/tt0057935/?ref_=fea_eds_center-3_IndiaTop250_122,8.1,1964,Not Rated,"Drama,Romance,Back to top","The lonely wife of a newspaper editor falls in love with her visiting cousin-in-law, who shares her love for literature."
123,124,Alai Payuthey,https://www.imdb.com//title/tt0242256/?ref_=fea_eds_center-3_IndiaTop250_123,8.3,2000,Not Rated,"Drama,Musical,Romance,Back to top","After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be."
124,125,A Northern Story of Valor,https://www.imdb.com//title/tt0230597/?ref_=fea_eds_center-3_IndiaTop250_124,8.7,1989,2h 48m,"Drama,History,Back to top",The film offers an alternative version of the fight between two legendary Chekavars from Chanthu's perspective.
125,126,Bommarillu,https://www.imdb.com//title/tt0843326/?ref_=fea_eds_center-3_IndiaTop250_125,8.2,2006,Bommarillu Baskar,"Comedy,Drama,Romance,Back to top",A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.
126,127,Omkara,https://www.imdb.com//title/tt0488414/?ref_=fea_eds_center-3_IndiaTop250_126,8.1,2006,Not Rated,"Action,Crime,Drama,Back to top",A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.
127,128,Section 375,https://www.imdb.com//title/tt8144834/?ref_=fea_eds_center-3_IndiaTop250_127,8.1,2019,Not Rated,"Crime,Drama,Mystery,Back to top","A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence."
128,129,Bombay,https://www.imdb.com//title/tt0112553/?ref_=fea_eds_center-3_IndiaTop250_128,8.1,1995,Not Rated,"Drama,Romance,Back to top","A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the f... Read all"
129,130,K.G.F: Chapter 1,https://www.imdb.com//title/tt7838252/?ref_=fea_eds_center-3_IndiaTop250_129,8.2,2018,Not Rated,"Action,Crime,Drama,Back to top","In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F."
130,131,Kantara,https://www.imdb.com//title/tt15327088/?ref_=fea_eds_center-3_IndiaTop250_130,8.3,2022,Not Rated,"Action,Adventure,Drama,Back to top","When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
131,132,Indian,https://www.imdb.com//title/tt0116630/?ref_=fea_eds_center-3_IndiaTop250_131,8.1,1996,Not Rated,"Action,Drama,Thriller,Back to top",A veteran freedom fighter enraged with the rising crime and corruption in the society murders all the wrong doers one by one using an ancient martial arts technique.
132,133,Rangasthalam 1985,https://www.imdb.com//title/tt7392212/?ref_=fea_eds_center-3_IndiaTop250_132,8.2,2018,Not Rated,"Action,Drama,Back to top",Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.
133,134,Dilwale Dulhania Le Jayenge,https://www.imdb.com//title/tt0112870/?ref_=fea_eds_center-3_IndiaTop250_133,8.0,1995,Not Rated,"Drama,Romance,Back to top","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
134,135,Haider,https://www.imdb.com//title/tt3390572/?ref_=fea_eds_center-3_IndiaTop250_134,8.0,2014,Not Rated,"Action,Crime,Drama,Back to top","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
135,136,Andaz Apna Apna,https://www.imdb.com//title/tt0109117/?ref_=fea_eds_center-3_IndiaTop250_135,8.0,1994,Not Rated,"Action,Comedy,Romance,Back to top",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
136,137,Mughal-E-Azam,https://www.imdb.com//title/tt0054098/?ref_=fea_eds_center-3_IndiaTop250_136,8.1,1960,Not Rated,"Drama,Romance,War,Back to top",A 16th century prince falls in love with a court dancer and battles with his emperor father.
137,138,Athadu,https://www.imdb.com//title/tt0471571/?ref_=fea_eds_center-3_IndiaTop250_137,8.2,2005,Not Rated,"Action,Crime,Drama,Back to top","A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police."
138,139,The Great Indian Kitchen,https://www.imdb.com//title/tt13299890/?ref_=fea_eds_center-3_IndiaTop250_138,8.1,2021,1h 40m,"Comedy,Drama,Back to top","After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be. The story follows her journey, as she changes herself and, even more so, changes... Read all"
139,140,Special 26,https://www.imdb.com//title/tt2377938/?ref_=fea_eds_center-3_IndiaTop250_139,8.0,2013,Not Rated,"Crime,Drama,Thriller,Back to top",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
140,141,Vaaranam Aayiram,https://www.imdb.com//title/tt1180583/?ref_=fea_eds_center-3_IndiaTop250_140,8.2,2008,Not Rated,"Action,Drama,Musical,Back to top","A father and son help each other through growing up, romance, tragedy, and adventure."
141,142,Maanaadu,https://www.imdb.com//title/tt4983780/?ref_=fea_eds_center-3_IndiaTop250_141,8.3,2021,PG-13,"Action,Adventure,Sci-Fi,Back to top","On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop."
142,143,Maqbool,https://www.imdb.com//title/tt0379370/?ref_=fea_eds_center-3_IndiaTop250_142,8.0,2003,Not Rated,"Crime,Drama,Thriller,Back to top",The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.
143,144,Thadam,https://www.imdb.com//title/tt7822438/?ref_=fea_eds_center-3_IndiaTop250_143,8.1,2019,Not Rated,"Action,Crime,Drama,Back to top",The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.
144,145,Padaiyappa,https://www.imdb.com//title/tt0213969/?ref_=fea_eds_center-3_IndiaTop250_144,8.2,1999,3h 1m,"Action,Comedy,Drama,Back to top","The death of Padaiyappa's father destroys his family. But his luck changes, and he is able to lead a prosperous life, until his nemesis plots to ruin his happiness once more."
145,146,Gulaal,https://www.imdb.com//title/tt1261047/?ref_=fea_eds_center-3_IndiaTop250_145,8.0,2009,Not Rated,"Crime,Drama,Thriller,Back to top","A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college."
146,147,Ulidavaru Kandanthe,https://www.imdb.com//title/tt3394420/?ref_=fea_eds_center-3_IndiaTop250_146,8.4,2014,Not Rated,"Crime,Drama,Thriller,Back to top","A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it."
147,148,Pelli Choopulu,https://www.imdb.com//title/tt5824826/?ref_=fea_eds_center-3_IndiaTop250_147,8.2,2016,2h 5m,"Comedy,Drama,Romance,Back to top",A wannabe businesswoman and a happy-go-lucky guy meet each other during an arranged marriage blind date but eventually team up to start a food truck on their own.
148,149,K.G.F: Chapter 2,https://www.imdb.com//title/tt10698680/?ref_=fea_eds_center-3_IndiaTop250_148,8.3,2022,Not Rated,"Action,Crime,Drama,Back to top","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threa... Read all"
149,150,Vaastav: The Reality,https://www.imdb.com//title/tt0220832/?ref_=fea_eds_center-3_IndiaTop250_149,8.0,1999,Not Rated,"Action,Crime,Drama,Back to top",Consequences force an innocent man to get involved in crime after making an error.
150,151,Deewaar,https://www.imdb.com//title/tt0072860/?ref_=fea_eds_center-3_IndiaTop250_150,8.0,1975,Not Rated,"Action,Crime,Drama,Back to top","Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in th... Read all"
151,152,Viduthalai: Part 1,https://www.imdb.com//title/tt11396310/?ref_=fea_eds_center-3_IndiaTop250_151,8.3,2023,Not Rated,"Action,Crime,Drama,Back to top",A police officer is recruited to capture the leader of a separatist group.
152,153,Company,https://www.imdb.com//title/tt0296574/?ref_=fea_eds_center-3_IndiaTop250_152,8.0,2002,Not Rated,"Action,Crime,Drama,Back to top","A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai... Read all"
153,154,Ugly,https://www.imdb.com//title/tt2882328/?ref_=fea_eds_center-3_IndiaTop250_153,7.9,2013,Not Rated,"Crime,Drama,Mystery,Back to top",The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.
154,155,Naduvula Konjam Pakkatha Kaanom,https://www.imdb.com//title/tt2564144/?ref_=fea_eds_center-3_IndiaTop250_154,8.2,2012,2h 35m,"Comedy,Drama,Back to top","A young man forgets a few years of his life, even as he is about to get married."
155,156,Padosan,https://www.imdb.com//title/tt0063404/?ref_=fea_eds_center-3_IndiaTop250_155,8.1,1968,Not Rated,"Comedy,Musical,Romance,Back to top",A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.
156,157,Badhaai Ho,https://www.imdb.com//title/tt7725596/?ref_=fea_eds_center-3_IndiaTop250_156,7.9,2018,Not Rated,"Comedy,Drama,Back to top",A man is embarrassed when he finds out his mother is pregnant.
157,158,Aadukalam,https://www.imdb.com//title/tt1821317/?ref_=fea_eds_center-3_IndiaTop250_157,8.1,2011,Not Rated,"Action,Drama,Romance,Back to top",Falling in love with Irene as well as refusing to obey his boss Pettaikaran in a rooster fight complicates Karuppu's life.
158,159,Kshanam,https://www.imdb.com//title/tt5504168/?ref_=fea_eds_center-3_IndiaTop250_158,8.2,2016,Not Rated,"Mystery,Thriller,Back to top","Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter."
159,160,Gully Boy,https://www.imdb.com//title/tt2395469/?ref_=fea_eds_center-3_IndiaTop250_159,7.9,2019,Not Rated,"Drama,Music,Romance,Back to top",A coming-of-age story based on the lives of street rappers in Mumbai.
160,161,Nayattu,https://www.imdb.com//title/tt11604676/?ref_=fea_eds_center-3_IndiaTop250_160,8.1,2021,2h 4m,"Crime,Thriller,Back to top","Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much ... Read all"
161,162,Evaru,https://www.imdb.com//title/tt10545484/?ref_=fea_eds_center-3_IndiaTop250_161,8.1,2019,Not Rated,"Crime,Drama,Mystery,Back to top",Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case h... Read all
162,163,My Name Is Khan,https://www.imdb.com//title/tt1188996/?ref_=fea_eds_center-3_IndiaTop250_162,7.9,2010,PG-13,"Adventure,Drama,Romance,Back to top",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
163,164,Maanagaram,https://www.imdb.com//title/tt5559528/?ref_=fea_eds_center-3_IndiaTop250_163,8.1,2017,Not Rated,"Action,Thriller,Back to top",Four youngsters arrive in a big city and their lives become interlinked.
164,165,Pranchiyettan and the Saint,https://www.imdb.com//title/tt1695800/?ref_=fea_eds_center-3_IndiaTop250_164,8.3,2010,2h 20m,"Comedy,Drama,Back to top",Pranchiyettan is a successful businessman who often has talks with an imaginary St. Francis of Assisi. The story deals with how he goes about changing his embarrassing image to making a name... Read all
165,166,Dev.D,https://www.imdb.com//title/tt1327035/?ref_=fea_eds_center-3_IndiaTop250_165,7.9,2009,Not Rated,"Comedy,Drama,Romance,Back to top","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they fin... Read all"
166,167,Sirf Ek Bandaa Kaafi Hai,https://www.imdb.com//title/tt24485052/?ref_=fea_eds_center-3_IndiaTop250_166,7.9,2023,2h 12m,"Drama,Back to top",A common man with honesty and integrity can take on the system when he has truth on his side.
167,168,22 Shey Shraban,https://www.imdb.com//title/tt2075108/?ref_=fea_eds_center-3_IndiaTop250_167,8.1,2011,Not Rated,"Action,Crime,Drama,Back to top",An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.
168,169,Kal Ho Naa Ho,https://www.imdb.com//title/tt0347304/?ref_=fea_eds_center-3_IndiaTop250_168,7.9,2003,Not Rated,"Comedy,Drama,Musical,Back to top","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Nain... Read all"
169,170,Major,https://www.imdb.com//title/tt9851854/?ref_=fea_eds_center-3_IndiaTop250_169,8.1,2022,2h 30m,"Action,Biography,Drama,Back to top","Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime ... Read all"
170,171,Garuda Gamana Vrishabha Vahana,https://www.imdb.com//title/tt11953248/?ref_=fea_eds_center-3_IndiaTop250_170,8.3,2021,Raj B. Shetty,"Crime,Drama,Thriller,Back to top","Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their... Read all"
171,172,Ayyappanum Koshiyum,https://www.imdb.com//title/tt11322920/?ref_=fea_eds_center-3_IndiaTop250_171,8.0,2020,Not Rated,"Action,Drama,Thriller,Back to top","The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive."
172,173,Thondi Muthalum Driksakshiyum,https://www.imdb.com//title/tt5906392/?ref_=fea_eds_center-3_IndiaTop250_172,8.1,2017,Not Rated,"Crime,Drama,Thriller,Back to top","Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain... Read all"
173,174,Jab We Met,https://www.imdb.com//title/tt1093370/?ref_=fea_eds_center-3_IndiaTop250_173,7.9,2007,Not Rated,"Comedy,Drama,Romance,Back to top",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
174,175,M.S,https://www.imdb.com//title/tt4169250/?ref_=fea_eds_center-3_IndiaTop250_174,8.0,2016,Not Rated,"Biography,Drama,Sport,Back to top",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
175,176,Ship of Theseus,https://www.imdb.com//title/tt1773764/?ref_=fea_eds_center-3_IndiaTop250_175,8.0,2012,Not Rated,"Drama,Back to top","The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker."
176,177,Charlie,https://www.imdb.com//title/tt5082014/?ref_=fea_eds_center-3_IndiaTop250_176,8.0,2015,2h 10m,"Adventure,Drama,Romance,Back to top","A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment."
177,178,Manjhi: The Mountain Man,https://www.imdb.com//title/tt3449292/?ref_=fea_eds_center-3_IndiaTop250_177,8.0,2015,TV-14,"Biography,Drama,Back to top","Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain."
178,179,Take Off,https://www.imdb.com//title/tt6315524/?ref_=fea_eds_center-3_IndiaTop250_178,8.1,2017,2h 19m,"Action,Drama,Thriller,Back to top","In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture."
179,180,Deiva Thirumagal,https://www.imdb.com//title/tt1857670/?ref_=fea_eds_center-3_IndiaTop250_179,8.2,2011,Not Rated,"Drama,Back to top","A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family."
180,181,The Brawler,https://www.imdb.com//title/tt7180544/?ref_=fea_eds_center-3_IndiaTop250_180,8.0,2017,Not Rated,"Action,Drama,Sport,Back to top",A boxer struggles to make his mark in the boxing world.
181,182,Border,https://www.imdb.com//title/tt0118751/?ref_=fea_eds_center-3_IndiaTop250_181,7.9,1997,Not Rated,"Action,Drama,History,Back to top","In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force."
182,183,Vedam,https://www.imdb.com//title/tt1649431/?ref_=fea_eds_center-3_IndiaTop250_182,8.1,2010,Not Rated,"Action,Drama,Back to top","Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy."
183,184,Dil Bechara,https://www.imdb.com//title/tt8110330/?ref_=fea_eds_center-3_IndiaTop250_183,8.4,2020,Not Rated,"Comedy,Drama,Romance,Back to top","The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
184,185,Baahubali: The Beginning,https://www.imdb.com//title/tt2631186/?ref_=fea_eds_center-3_IndiaTop250_184,8.0,2015,Not Rated,"Action,Drama,Back to top","A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler."
185,186,Salaam Bombay!,https://www.imdb.com//title/tt0096028/?ref_=fea_eds_center-3_IndiaTop250_185,7.9,1988,Not Rated,"Crime,Drama,Back to top","Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India."
186,187,Gargi,https://www.imdb.com//title/tt21261388/?ref_=fea_eds_center-3_IndiaTop250_186,8.1,2022,Gautham Ramachandran,"Drama,Thriller,Back to top",The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.
187,188,Karnan,https://www.imdb.com//title/tt11581174/?ref_=fea_eds_center-3_IndiaTop250_187,8.0,2021,2h 38m,"Action,Drama,Back to top","Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer."
188,189,Arjun Reddy,https://www.imdb.com//title/tt7294534/?ref_=fea_eds_center-3_IndiaTop250_188,8.0,2017,Not Rated,"Action,Drama,Romance,Back to top","Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person."
189,190,Pad Man,https://www.imdb.com//title/tt7218518/?ref_=fea_eds_center-3_IndiaTop250_189,7.9,2018,PG-13,"Comedy,Drama,Back to top","Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
190,191,Kirik Party,https://www.imdb.com//title/tt6054758/?ref_=fea_eds_center-3_IndiaTop250_190,8.3,2016,Not Rated,"Comedy,Drama,Back to top","Kirik Party is the story of a gang of mischievous students, lead by the protagonist Karna (Rakshit Shetty), who has just joined an engineering college."
191,192,Vinnaithaandi Varuvaayaa,https://www.imdb.com//title/tt1609168/?ref_=fea_eds_center-3_IndiaTop250_191,8.1,2010,Not Rated,"Drama,Romance,Back to top",An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.
192,193,Baby,https://www.imdb.com//title/tt3848892/?ref_=fea_eds_center-3_IndiaTop250_192,7.9,2015,Not Rated,"Action,Crime,Thriller,Back to top","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent t... Read all"
193,194,Super 30,https://www.imdb.com//title/tt7485048/?ref_=fea_eds_center-3_IndiaTop250_193,7.9,2019,Not Rated,"Biography,Drama,Back to top",Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
194,195,Hridayam,https://www.imdb.com//title/tt11375428/?ref_=fea_eds_center-3_IndiaTop250_194,8.1,2022,2h 52m,"Drama,Musical,Romance,Back to top","The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life."
195,196,Pizza,https://www.imdb.com//title/tt2585562/?ref_=fea_eds_center-3_IndiaTop250_195,8.0,2012,Not Rated,"Horror,Thriller,Back to top",A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.
196,197,Malik,https://www.imdb.com//title/tt10919240/?ref_=fea_eds_center-3_IndiaTop250_196,8.0,2021,2h 42m,"Action,Biography,Crime,Back to top","A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars."
197,198,Ankhon Dekhi,https://www.imdb.com//title/tt3614516/?ref_=fea_eds_center-3_IndiaTop250_197,7.9,2013,1h 47m,"Comedy,Drama,Back to top","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
198,199,The Tashkent Files,https://www.imdb.com//title/tt8108268/?ref_=fea_eds_center-3_IndiaTop250_198,8.1,2019,Not Rated,"Drama,Mystery,Thriller,Back to top","Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated."
199,200,The Music Room,https://www.imdb.com//title/tt0051792/?ref_=fea_eds_center-3_IndiaTop250_199,7.9,1958,Not Rated,"Drama,Music,Back to top","Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity."
200,201,Android Kunjappan Ver 5.25,https://www.imdb.com//title/tt9526826/?ref_=fea_eds_center-3_IndiaTop250_200,8.0,2019,Ratheesh Balakrishnan Poduval,"Comedy,Drama,Sci-Fi,Back to top","Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid ent... Read all"
201,202,Hindi Medium,https://www.imdb.com//title/tt5764096/?ref_=fea_eds_center-3_IndiaTop250_201,7.8,2017,Not Rated,"Comedy,Drama,Back to top",A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
202,203,Love Today,https://www.imdb.com//title/tt22488728/?ref_=fea_eds_center-3_IndiaTop250_202,8.1,2022,2h 34m,"Comedy,Drama,Romance,Back to top","Two young lovers, who are made to exchange their phones for a day and what happens due to that."
203,204,English Vinglish,https://www.imdb.com//title/tt2181931/?ref_=fea_eds_center-3_IndiaTop250_203,7.8,2012,Not Rated,"Comedy,Drama,Family,Back to top","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
204,205,Memories,https://www.imdb.com//title/tt3124456/?ref_=fea_eds_center-3_IndiaTop250_204,8.0,2013,Not Rated,"Mystery,Thriller,Back to top","Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expect... Read all"
205,206,Joseph,https://www.imdb.com//title/tt8561086/?ref_=fea_eds_center-3_IndiaTop250_205,8.0,2018,2h 18m,"Crime,Drama,Thriller,Back to top","The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is be... Read all"
206,207,Hey Ram,https://www.imdb.com//title/tt0222012/?ref_=fea_eds_center-3_IndiaTop250_206,7.9,2000,Not Rated,"Crime,Drama,History,Back to top",Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets ou... Read all
